invoice_and_item_number,date,store_number,store_name,address,city,zip_code,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-08912300094,2017-11-29,3723,J D SPIRITS LIQUOR,1023  9TH ST,ONAWA,51040,67,MONONA,1081400.0,AMERICAN SCHNAPPS,434,LUXCO INC,81204,PARAMOUNT PEPPERMINT SCHNAPPS,24,375,2.28,3.42,5,17.1,1.88,0.5
S26608700041,2015-07-07,2565,HY-VEE FOOD STORE / SPENCER,819 N GRAND AVE,SPENCER,51301,21,CLAY,1081300.0,PEPPERMINT SCHNAPPS,434,LUXCO-ST LOUIS,81204,PARAMOUNT PEPPERMINT SCHNAPPS,24,375,2.28,3.42,5,17.1,1.88,0.5
S16544100033,2013-12-27,3963,TOBACCO HUT #14 / COUNCIL BLUFFS,1925 W BROADWAY,COUNCIL BLUFFS,51501,78,POTTAWATTAMIE,1081300.0,PEPPERMINT SCHNAPPS,434,LUXCO-ST LOUIS,81204,PARAMOUNT PEPPERMINT SCHNAPPS,24,375,2.28,3.42,5,17.1,1.88,0.5
INV-02258900231,2016-12-20,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,57,LINN,1081400.0,AMERICAN SCHNAPPS,434,LUXCO INC,81204,PARAMOUNT PEPPERMINT SCHNAPPS,24,375,2.28,3.42,5,17.1,1.88,0.5
S19564100056,2014-06-16,5018,SUPER SAVER LIQUOR LLC,1610 ROCKINGHAM RD,DAVENPORT,52802,82,SCOTT,1081315.0,CINNAMON SCHNAPPS,65,JIM BEAM BRANDS,82613,DEKUYPER HOT DAMN!,24,375,3.07,4.61,5,23.05,1.88,0.5
S10978300100,2013-03-07,2620,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,77,POLK,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,86669,JACK DANIEL'S TENNESSEE HONEY,24,375,6.3,9.44,5,47.2,1.88,0.5
INV-06526400005,2017-08-08,4301,SAHOTA FOOD MART,1805 SE 14TH ST,DES MOINES,50320.0,77,POLK,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,86669,JACK DANIEL'S TENNESSEE HONEY,24,375,7.5,11.25,5,56.25,1.88,0.5
INV-05992200045,2017-07-10,2641,HY-VEE DRUGSTORE / COUNCIL BLUFFS,757 W BROADWAY,COUNCIL BLUFFS,51501.0,78,POTTAWATTAMIE,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,86669,JACK DANIEL'S TENNESSEE HONEY,24,375,7.5,11.25,5,56.25,1.88,0.5
S11558300014,2013-04-10,4545,FILL R UP,14151 WABASH AVE,COUNCIL BLUFFS,51503.0,78,POTTAWATTAMIE,1081600.0,WHISKEY LIQUEUR,85,BROWN-FORMAN CORPORATION,86884,SOUTHERN COMFORT,24,375,4.54,6.8,5,34.0,1.88,0.5
S27426600112,2015-08-19,3896,SMOKIN' JOE'S #18 TOBACCO AND LIQUOR,1901 BROADWAY ST,IOWA CITY,52240,52,JOHNSON,1081600.0,WHISKEY LIQUEUR,85,BROWN-FORMAN CORPORATION,86884,SOUTHERN COMFORT,24,375,4.78,7.17,5,35.85,1.88,0.5
S06262100409,2012-06-26,2614,HY-VEE #3 FOOD AND DRUGSTORE,1823 E KIMBERLY RD,DAVENPORT,52807,82,SCOTT,1081600.0,WHISKEY LIQUEUR,85,BROWN-FORMAN CORPORATION,86884,SOUTHERN COMFORT,24,375,4.54,6.8,5,34.0,1.88,0.5
S06543200032,2012-07-11,2565,HY-VEE FOOD STORE / SPENCER,819 N GRAND AVE,SPENCER,51301,21,CLAY,1081600.0,WHISKEY LIQUEUR,85,BROWN-FORMAN CORPORATION,86884,SOUTHERN COMFORT,24,375,4.54,6.8,5,34.0,1.88,0.5
S29979700004,2016-01-06,4420,KUM & GO #38 / OTTUMWA,534 CHURCH ST,OTTUMWA,52501,90,WAPELLO,1081600.0,WHISKEY LIQUEUR,85,BROWN-FORMAN CORPORATION,86884,SOUTHERN COMFORT,24,375,4.78,7.17,5,35.85,1.88,0.5
S14230500247,2013-08-29,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401,14,CARROLL,1081600.0,WHISKEY LIQUEUR,85,BROWN-FORMAN CORPORATION,86884,SOUTHERN COMFORT,24,375,4.54,6.8,5,34.0,1.88,0.5
INV-06665500025,2017-08-15,5142,SMOKIN' JOE'S #13 TOBACCO & LIQUOR O,,,,,,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,86884,SOUTHERN COMFORT,24,375,4.78,7.17,5,35.85,1.88,0.5
S17049600081,2014-01-27,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,78,POTTAWATTAMIE,1081600.0,WHISKEY LIQUEUR,85,BROWN-FORMAN CORPORATION,86884,SOUTHERN COMFORT,24,375,4.54,6.8,5,34.0,1.88,0.5
INV-13079600077,2018-07-06,2190,"CENTRAL CITY LIQUOR, INC.",1460 2ND AVE,DES MOINES,50314,77,POLK,1022100.0,MIXTO TEQUILA,395.0,PROXIMO,87403,JOSE CUERVO ESPECIAL SILVER,24,375,5.5,8.25,5,41.25,1.88,0.5
INV-06230200038,2017-07-21,4478,U S GAS,3000 SW 9TH ST,DES MOINES,50315.0,77,POLK,1022200.0,100% AGAVE TEQUILA,410,PATRON SPIRITS COMPANY,88294,PATRON SILVER TEQUILA,12,375,14.5,21.75,5,108.75,1.88,0.5
S25396900017,2015-04-30,4410,KUM & GO #203 / PERRY,1219 1ST ST,PERRY,50220,8,BOONE,1022100.0,TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,5,41.25,1.88,0.5
S14597200013,2013-09-17,4336,LAST CALL 2,120 N MAIN ST,GEORGE,51237,60,LYON,1022100.0,TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.49,8.24,5,41.2,1.88,0.5
S33627500016,2016-07-28,4958,FIVE CORNERS LIQUOR & WINE,809 E 18TH ST,CEDAR FALLS,50613,7,BLACK HAWK,1022100.0,TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,5,41.25,1.88,0.5
S15896400048,2013-11-22,3962,DURANT STREET COUNTRY STOP,618 DURANT ST,HARLAN,51537,83,SHELBY,1022100.0,TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,5,41.25,1.88,0.5
INV-03336400047,2017-02-17,3963,TOBACCO HUT #14 / COUNCIL BLUFFS,1925 W BROADWAY,COUNCIL BLUFFS,51501,78,POTTAWATTAMIE,1022100.0,MIXTO TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,5,41.25,1.88,0.5
INV-08989000007,2017-12-04,5361,LIQUORLAND,624 ANGULAR ST.,BURLINGTON,52601,29,DES MOINES,1022100.0,MIXTO TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,5,41.25,1.88,0.5
INV-02770300009,2017-01-18,5227,FLAMING HOT FISH AND CHICKEN LLC,"320, N  4TH ST",CLINTON,52732,23,CLINTON,1022100.0,MIXTO TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,5,41.25,1.88,0.5
S18719500056,2014-04-30,2585,HY-VEE WINE AND SPIRITS / ALGONA,1516 HIGHWAY 169 NORTH,ALGONA,50511,55,KOSSUTH,1022100.0,TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,5,41.25,1.88,0.5
S19808900030,2014-06-27,4152,FOOD LAND SUPER MARKETS / MISSOURI V,407 W HURON,MISSOURI VALLEY,51555,43,HARRISON,1022100.0,TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,5.5,8.25,5,41.25,1.88,0.5
S10655400012,2013-02-19,4427,KUM & GO #507 / NORTH LIBERTY,610 N KANSAS AVE,NORTH LIBERTY,52317,52,JOHNSON,1022100.0,TEQUILA,395,PROXIMO,89199,JOSE CUERVO ESPECIAL REPOSADO SQUARE,12,375,5.49,8.24,5,41.2,1.88,0.5
INV-17864900001,2019-03-01,4675,KUM & GO #113 / AMES,2801 E 13TH ST,AMES,50010,85,STORY,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64858,FIREBALL CINNAMON WHISKEY MINI DISPENSER,1,3000,30.0,45.0,6,270.0,18.0,4.75
INV-16316200021,2018-12-14,5229,CASEY'S GENERAL STORE #3422 / NORWAL,"500, NORTH AVE",NORWALK,50211,91,WARREN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64858,FIREBALL CINNAMON WHISKEY MINI DISPENSER,1,3000,30.0,45.0,6,270.0,18.0,4.75
INV-20310000085,2019-07-01,2527,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,77,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64858,FIREBALL CINNAMON WHISKEY MINI DISPENSER,1,3000,30.0,45.0,6,270.0,18.0,4.75
INV-17231200013,2019-01-29,5331,CASEY'S GENERAL STORE # 1536/ GEORGE,301 E MICHIGAN AVE,GEORGE,51237,60,LYON,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,64858,FIREBALL CINNAMON WHISKEY MINI DISPENSER,1,3000,30.0,45.0,6,270.0,18.0,4.75
INV-43258200019,2021-12-24,4252,FAREWAY STORES #840 / MONTICELLO,433 N FARLEY ST,MONTICELLO,52310.0,53,JONES,1701100.0,TEMPORARY & SPECIALTY PACKAGES,205,E & J GALLO WINERY,101163,RUMCHATA W/ 100ML LEMON & PEPPERMINT BARK,6,950,13.5,20.25,6,121.5,5.7,1.5
INV-00650000006,2016-10-03,4019,WAL-MART 1506 / MANCHESTER,1220 WEST MAIN,MANCHESTER,52057,28,DELAWARE,,,260.0,DIAGEO AMERICAS,115,CROWN ROYAL W/GLASS & COASTER,6,750,15.07,22.61,12,271.32,9.0,2.38
INV-00708100018,2016-10-04,2505,HY-VEE WINE AND SPIRITS / BOONE,1111  8TH ST,BOONE,50036,8,BOONE,,,300.0,MCCORMICK DISTILLING CO.,133,TEQUILA ROSE HOLIDAY W/1 COLLINS GLASS,6,750,9.49,14.24,12,170.88,9.0,2.38
INV-00663400001,2016-10-03,3790,WAL-MART 0784 / MT PLEASAN,1045 N GRAND AVE,MT PLEASANT,52641,44,HENRY,,,255.0,INFINIUM SPIRITS,297,TEMPLETON 4YR RYE W/FLASK,6,750,18.09,27.14,12,325.68,9.0,2.38
S20185700009,2014-07-21,4229,FAREWAY STORES #790 / HARLAN,1910  23RD ST,HARLAN,51537,83,SHELBY,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,JIM BEAM BRANDS,411,JIM BEAM BLACK W/GRILL MITT,6,750,13.65,20.48,12,245.76,9.0,2.38
S28510000001,2015-10-19,3811,WAL-MART 1431 / KEOKUK,300 NORTH PARK DR,KEOKUK,52632,56,LEE,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,JIM BEAM BRANDS,434,JIM BEAM WHITE W/2 GLASSES,6,750,10.49,15.74,12,188.88,9.0,2.38
INV-00741100019,2016-10-05,2625,HY-VEE WINE AND SPIRITS #2,3301 W KIMBERLY RD,DAVENPORT,52804,82,SCOTT,1701100.0,TEMPORARY & SPECIALTY PACKAGES,65.0,JIM BEAM BRANDS,434,JIM BEAM WHITE W/2 GLASSES,6,750,10.49,15.74,12,188.88,9.0,2.38
INV-00807900009,2016-10-07,3721,WAL-MART 0913 / DECORAH,1798 OLD STAGE RD,DECORAH,52101,96,WINNESHIEK,1701100.0,TEMPORARY & SPECIALTY PACKAGES,65.0,JIM BEAM BRANDS,434,JIM BEAM WHITE W/2 GLASSES,6,750,10.49,15.74,12,188.88,9.0,2.38
INV-00731800002,2016-10-05,4004,WAL-MART 4256 / AMES,534 S DUFF AVE,AMES,50010,85,STORY,1701100.0,TEMPORARY & SPECIALTY PACKAGES,65.0,JIM BEAM BRANDS,434,JIM BEAM WHITE W/2 GLASSES,6,750,10.49,15.74,12,188.88,9.0,2.38
INV-01805900003,2016-11-28,3563,WAL-MART 0559 / MUSCATINE,3003 NORTH HWY 61,MUSCATINE,52761,70,MUSCATINE,,,65.0,JIM BEAM BRANDS,457,MAKER'S MARK CO-PACK,6,750,20.99,31.49,12,377.88,9.0,2.38
INV-00699200003,2016-10-04,3666,TARGET STORE T-1771 / CEDAR RAPIDS,3400 EDGEWOOD RD SW,CEDAR RAPIDS,52404,57,LINN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,85.0,BROWN FORMAN CORP.,472,JACK DANIELS TN HONEY W/GLASS,6,750,15.57,23.36,12,271.32,9.0,2.38
INV-01270600002,2016-10-31,4148,FAREWAY STORES #479 / INDEPENDENCE,1400 3RD AVE SE,INDEPENDENCE,50644,10,BUCHANAN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,85.0,BROWN FORMAN CORP.,472,JACK DANIELS TN HONEY W/GLASS,6,750,15.57,23.36,12,271.32,9.0,2.38
INV-00748100005,2016-10-05,5105,THREE BROTHERS LIQUORS,585 HIGHWAY 965,NORTH LIBERTY,52317,52,JOHNSON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,85.0,BROWN FORMAN CORP.,472,JACK DANIELS TN HONEY W/GLASS,6,750,15.57,23.36,12,271.32,9.0,2.38
INV-09103900025,2017-12-08,3880,TARGET STORE T-2454 / COUNCIL BLUFFS,3804 METRO DR,COUNCIL BLUFFS,51503,78,POTTAWATTAMIE,1701100.0,TEMPORARY & SPECIALTY PACKAGES,85,BROWN FORMAN CORP.,699,WOODFORD RESERVE W/GLASS,6,750,22.49,33.74,12,404.88,9.0,2.38
S30058300028,2016-01-07,5129,CASH SAVER  /  FLEUR,4121 FLEUR DR,DES MOINES,50321,77,POLK,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,PERNOD RICARD USA/AUSTIN NICHOLS,781,JAMESON W/SHOT GLASS,12,750,14.49,21.74,12,260.88,9.0,2.38
S22653300018,2014-12-01,3525,WINES AND SPIRITS,106 W 2ND ST,WASHINGTON,52353,92,WASHINGTON,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,JIM BEAM BRANDS,789,CANADIAN CLUB W/GLASS,6,750,7.88,11.82,12,141.84,9.0,2.38
S16314300040,2013-12-17,2578,HY-VEE / CHARLES CITY,901 KELLY ST,CHARLES CITY,50616,34,FLOYD,1701100.0,DECANTERS & SPECIALTY PACKAGES,85,BROWN-FORMAN CORPORATION,969,JACK DANIEL'S W/BILLBOARD,12,750,13.54,20.31,12,243.72,9.0,2.38
INV-09650600041,2018-01-08,4148,FAREWAY STORES #479 / INDEPENDENCE,1400 3RD AVE SE,INDEPENDENCE,50644,10,BUCHANAN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,1400,CROWN ROYAL W/2 GLASSES,6,750,15.07,22.61,12,271.32,9.0,2.38
S29663500097,2015-12-16,2594,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106,97,WOODBURY,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,1400,CROWN ROYAL W/2 GLASSES,6,750,15.0,22.5,12,270.0,9.0,2.38
S14085400041,2013-10-04,3806,TARGET STORE T-1901 / WDM,5405 MILLS CIVIC PKWY,WEST DES MOINES,50266,77,POLK,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,1400,CROWN ROYAL W/2 GLASSES,6,750,14.75,22.13,12,265.56,9.0,2.38
INV-08256300009,2017-10-25,5172,UPTOWN LIQUOR & TOBACCO,2000 WILLEY BLVD SW,CEDAR RAPIDS,52404,57,LINN,1052100.0,IMPORTED BRANDIES,420,MOET HENNESSY USA,1643,HENNESSY VS EOY,12,750,19.49,29.24,12,350.88,9.0,2.38
S29310900028,2015-11-24,4426,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N SUITE 1,MARSHALLTOWN,50158,64,MARSHALL,1701100.0,DECANTERS & SPECIALTY PACKAGES,420,"MOET HENNESSY USA, INC.",1643,HENNESSY VS GOLD BOX,12,750,18.99,28.49,12,341.88,9.0,2.38
INV-07758200006,2017-10-06,2655,HY-VEE FOOD STORE / CLARINDA,1200 S 16TH ST,CLARINDA,51632.0,73,PAGE,1701100.0,TEMPORARY & SPECIALTY PACKAGES,259,HEAVEN HILL BRANDS,2229,CHRISTIAN BROTHERS HOLIDAY NOG,12,750,4.47,6.71,12,80.52,9.0,2.38
S21894600018,2014-10-21,4569,CAR-GO-EXPRESS / SUTHERLAND,202 WEST SOUTHERN ST,SUTHERLAND,51058,71,O'BRIEN,1701100.0,DECANTERS & SPECIALTY PACKAGES,259,HEAVEN HILL BRANDS,2229,CHRISTIAN BROTHERS HOLIDAY NOG,12,750,4.46,6.69,12,80.28,9.0,2.38
INV-01148200003,2016-10-24,3621,"JENSEN LIQUORS, LTD.",615  2ND AVE,SHELDON,51201,71,O'BRIEN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,259.0,HEAVEN HILL BRANDS,2229,CHRISTIAN BROTHERS HOLIDAY NOG,12,750,4.47,6.71,12,80.52,9.0,2.38
S21629800001,2014-10-07,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,9,BREMER,1701100.0,DECANTERS & SPECIALTY PACKAGES,259,HEAVEN HILL BRANDS,2229,CHRISTIAN BROTHERS HOLIDAY NOG,12,750,4.46,6.69,12,80.28,9.0,2.38
S15090300001,2013-10-14,3663,WAL-MART 1496 / WATERLOO,1334 FLAMMANG DR,WATERLOO,50702,7,BLACK HAWK,1701100.0,DECANTERS & SPECIALTY PACKAGES,55,SAZERAC NORTH AMERICA,2249,AMARETTO DI AMORE W/2 SNIFTERS,12,750,6.0,9.0,12,108.0,9.0,2.38
S09598300003,2012-12-19,2642,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219,63,MARION,1701100.0,DECANTERS & SPECIALTY PACKAGES,55,SAZERAC NORTH AMERICA,2249,AMARETTO DI AMORE W/2 SNIFTERS,12,750,6.0,9.0,12,108.0,9.0,2.38
S09340800021,2012-12-05,4307,CROSSROADS WINE AND LIQUOR,117 IOWA AVE,DUNLAP,712-2,43,HARRISON,1701100.0,DECANTERS & SPECIALTY PACKAGES,55,SAZERAC NORTH AMERICA,2249,AMARETTO DI AMORE W/2 SNIFTERS,12,750,6.0,9.0,12,108.0,9.0,2.38
S08724500005,2012-11-01,2958,DAHL'S / E 33RD,3400 E 33 ST,DES MOINES,50317,77,POLK,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,2870,BAILEY'S ORIGINAL IRISH CREAM W/2 GLASSES,6,750,13.0,19.5,12,234.0,9.0,2.38
S07421900012,2012-10-16,3811,WAL-MART 1431 / KEOKUK,300 NORTH PARK DR,KEOKUK,52632,56,LEE,1701100.0,DECANTERS & SPECIALTY PACKAGES,300,MCCORMICK DISTILLING COMPANY,2945,MCCORMICK IRISH CREAM W/2 GLASSES,6,750,7.33,11.0,12,132.0,9.0,2.38
S14248900068,2013-10-04,2573,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761,70,MUSCATINE,1701100.0,DECANTERS & SPECIALTY PACKAGES,85,BROWN-FORMAN CORPORATION,3120,JACK DANIEL'S TENNESSEE HONEY W/2 GLASSES,12,750,14.04,21.06,12,252.72,9.0,2.38
S14188300035,2013-08-28,4073,"UPTOWN LIQUOR, LLC",306 HWY 69 SOUTH,FOREST CITY,50436,95,WINNEBAGO,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,3136,JAGERMEISTER T-SHIRT PACK,12,750,12.05,18.08,12,216.96,9.0,2.38
S19169200017,2014-05-27,4660,HILL BROTHERS JIFFY MART / CEDAR RAP,"1904, MT VERNON RD SE",CEDAR RAPIDS,52403,57,LINN,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,3136,JAGERMEISTER T-SHIRT PACK,12,750,12.05,18.08,12,216.96,9.0,2.38
S11364700045,2013-04-01,3352,CORK 'N' BOTTLE,900 EAST MAIN ST.,MANCHESTER,52057,28,DELAWARE,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,3138,JAGERMEISTER LIQUEUR PEWTER SHOOTER,12,750,12.04,18.06,12,216.72,9.0,2.38
S26287300017,2015-06-18,5116,NEW STAR MART  /  NEWTON,"702, 1ST AVE E",NEWTON,50702,94,WEBSTER,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,3310,JAGERMEISTER W/FLASK,12,750,12.05,18.08,12,216.96,9.0,2.38
S21489200022,2014-09-30,2228,RODGERS SPIRITS AND MORE,53 GREEN ST,WINTERSET,50273,61,MADISON,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,3310,JAGERMEISTER W/FLASK,12,750,12.05,18.08,12,216.96,9.0,2.38
S17256600010,2014-02-06,2599,HY-VEE WINE AND SPIRITS / CORALVILLE,1914 8TH STREET,CORALVILLE,52241,52,JOHNSON,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,3310,JAGERMEISTER W/FLASK,12,750,12.05,18.08,12,216.96,9.0,2.38
S17263100072,2014-02-06,3926,LIQUOR DOWNTOWN / IOWA CITY,315 S GILBERT ST,IOWA CITY,52240,52,JOHNSON,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,3310,JAGERMEISTER W/FLASK,12,750,12.05,18.08,12,216.96,9.0,2.38
S14083200057,2013-10-11,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,23,CLINTON,1701100.0,DECANTERS & SPECIALTY PACKAGES,300,MCCORMICK DISTILLING COMPANY,3396,TEQUILA ROSE W/2 SHOT GLASSES,6,750,9.33,14.0,12,168.0,9.0,2.38
S33036200001,2016-06-23,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,77,POLK,1022100.0,TEQUILA,85,BROWN-FORMAN CORPORATION,3657,HERRADURA GOLD REPOSADO 6PAK,6,750,23.58,35.37,12,424.44,9.0,2.38
S33213700003,2016-07-06,4202,FAREWAY STORES #829 / SIOUX CITY,4267 SERGEANT RD,SIOUX CITY,51106,97,WOODBURY,1701100.0,DECANTERS & SPECIALTY PACKAGES,395,PROXIMO,4001,JOSE CUERVO GOLD W/1L CLASSIC MARGARITA MIX,6,750,10.49,15.74,12,188.88,9.0,2.38
S23106400002,2014-12-26,4910,PRIME MART #3 / WATERLOO,1008 LAPORTE RD,WATERLOO,50702,7,BLACK HAWK,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,4048,JAGERMEISTER W/SHOT GLASSES,12,750,12.05,18.08,12,216.96,9.0,2.38
S29955500001,2015-12-30,4185,FAREWAY STORES #737 / GRINNELL,727 WEST ST,GRINNELL,50112,79,POWESHIEK,1701100.0,DECANTERS & SPECIALTY PACKAGES,192,SIDNEY FRANK IMPORTING CO.,4048,JAGERMEISTER W/SHOT GLASSES,12,750,12.05,18.08,12,216.96,9.0,2.38
S11864900011,2013-04-25,4129,CYCLONE LIQUORS,626 LINCOLN WAY,AMES,50010,85,STORY,1012210.0,SINGLE MALT SCOTCH,370,PERNOD RICARD USA/AUSTIN NICHOLS,4084,ABERLOUR 12 YEAR SINGLE MALT SCOTCH,6,750,22.5,33.74,12,404.88,9.0,2.38
S20788900007,2014-08-21,2626,HY-VEE DRUGSTORE / UNIVERSITY / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,77,POLK,1701100.0,DECANTERS & SPECIALTY PACKAGES,305,MHW LTD,4114,RUMCHATA ICED COFFEE PACK,6,750,12.5,18.75,12,225.0,9.0,2.38
S29060300013,2015-11-18,4975,WALGREENS #15647 / SIOUX CITY,1900 HAMILTON BLVD,SIOUX CITY,51104,97,WOODBURY,1701100.0,DECANTERS & SPECIALTY PACKAGES,305,MHW LTD,4114,RUMCHATA ICED COFFEE PACK,6,750,12.5,18.75,12,225.0,9.0,2.38
INV-03427300007,2017-02-23,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,77,POLK,1012300.0,SINGLE MALT SCOTCH,240,WILLIAM GRANT & SONS INC,4356,BALVENIE 12YR DOUBLEWOOD SINGLE MALT SCOTCH,12,750,31.42,47.13,12,622.68,9.0,2.38
S14121200067,2013-08-26,3814,COSTCO WHOLESALE #788,7205 MILLS CIVIC PKWY,WEST DES MOINES,50266,25,DALLAS,1012210.0,SINGLE MALT SCOTCH,240,"WILLIAM GRANT AND SONS, INC.",4356,BALVENIE 12YR DOUBLEWOOD SINGLE MALT SCOTCH,12,750,33.6,50.39,12,604.68,9.0,2.38
S15990400048,2013-11-27,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263,25,DALLAS,1012210.0,SINGLE MALT SCOTCH,240,"WILLIAM GRANT AND SONS, INC.",4356,BALVENIE 12YR DOUBLEWOOD SINGLE MALT SCOTCH,12,750,33.6,50.39,12,604.68,9.0,2.38
INV-13328600045,2018-07-19,3354,SAM'S CLUB 8238 / DAVENPORT,3845 ELMORE AVE.,DAVENPORT,52807,82,SCOTT,1012300.0,SINGLE MALT SCOTCH,240.0,WILLIAM GRANT & SONS INC,4356,BALVENIE 12YR DOUBLEWOOD SINGLE MALT SCOTCH,12,750,31.42,47.13,12,565.56,9.0,2.38
INV-05605100062,2017-06-19,2629,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503.0,78,POTTAWATTAMIE,1012300.0,SINGLE MALT SCOTCH,240,WILLIAM GRANT & SONS INC,4367,BALVENIE CARIBBEAN CASK 14YR,6,750,39.96,59.94,12,719.28,9.0,2.38
INV-09440900003,2017-12-26,4301,SAHOTA FOOD MART,1805 SE 14TH ST,DES MOINES,50320,77,POLK,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,4626,BUCHANAN'S 12 YR DELUXE SCOTCH,12,750,20.99,31.49,12,404.88,9.0,2.38
S09060100050,2012-11-19,2290,AL'S LIQUORS UNLIMITED,215 WEST MILWAUKEE,STORM LAKE,50588,11,BUENA VISTA,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,4626,BUCHANAN'S 12 YR DELUXE SCOTCH,12,750,20.5,30.74,12,368.88,9.0,2.38
S10793300004,2013-02-26,4012,FAST MART,1401 BUCHANAN ST,DES MOINES,50316,77,POLK,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,4626,BUCHANAN'S 12 YR DELUXE SCOTCH,12,750,20.5,30.74,12,368.88,9.0,2.38
